"variable","reason"
"RESPID","Identifier/metadata"
"INTERVIEW_START","Identifier/metadata"
"INTERVIEW_END","Identifier/metadata"
"DIFF_DATE","Identifier/metadata"
"ZIPCODE","Identifier/metadata"
"CITY_NAME","Identifier/metadata"
"COUNTY_NAME","Identifier/metadata"
"C14","DV or weight variable"
"WEIGHT","DV or weight variable"
"NAT_WEIGHT","DV or weight variable"
"B24","High missing (>95%) - race-specific"
"A24","High missing (>95%) - race-specific"
"A36","High missing (>95%) - race-specific"
"A65","High missing (>95%) - race-specific"
"A77","High missing (>95%) - race-specific"
"BA97_1","High missing (>95%) - race-specific"
"BA97_2","High missing (>95%) - race-specific"
"BA97_3","High missing (>95%) - race-specific"
"BA97_4","High missing (>95%) - race-specific"
"BA97_5","High missing (>95%) - race-specific"
"BA97_6","High missing (>95%) - race-specific"
"BA98_1","High missing (>95%) - race-specific"
"BA98_2","High missing (>95%) - race-specific"
"BA98_3","High missing (>95%) - race-specific"
"BA98_4","High missing (>95%) - race-specific"
"BA98_5","High missing (>95%) - race-specific"
"BA98_6","High missing (>95%) - race-specific"
"BA99_1","High missing (>95%) - race-specific"
"BA99_2","High missing (>95%) - race-specific"
"BA99_3","High missing (>95%) - race-specific"
"BA99_4","High missing (>95%) - race-specific"
"BA99_5","High missing (>95%) - race-specific"
"BA99_6","High missing (>95%) - race-specific"
"BA100_1","High missing (>95%) - race-specific"
"BA100_2","High missing (>95%) - race-specific"
"BA100_3","High missing (>95%) - race-specific"
"BA100_4","High missing (>95%) - race-specific"
"BA100_5","High missing (>95%) - race-specific"
"BA100_6","High missing (>95%) - race-specific"
"BA101_1","High missing (>95%) - race-specific"
"BA101_2","High missing (>95%) - race-specific"
"BA101_3","High missing (>95%) - race-specific"
"BA101_4","High missing (>95%) - race-specific"
"BA101_5","High missing (>95%) - race-specific"
"BA101_6","High missing (>95%) - race-specific"
"BA102_1","High missing (>95%) - race-specific"
"BA102_2","High missing (>95%) - race-specific"
"BA102_3","High missing (>95%) - race-specific"
"BA102_4","High missing (>95%) - race-specific"
"BA102_5","High missing (>95%) - race-specific"
"BA102_6","High missing (>95%) - race-specific"
"A103_1_1","High missing (>95%) - race-specific"
"A103_1_2","High missing (>95%) - race-specific"
"A103_1_3","High missing (>95%) - race-specific"
"A103_1_4","High missing (>95%) - race-specific"
"A103_1_5","High missing (>95%) - race-specific"
"A103_1_6","High missing (>95%) - race-specific"
"A103_1_88","High missing (>95%) - race-specific"
"A103_2_1","High missing (>95%) - race-specific"
"A103_2_2","High missing (>95%) - race-specific"
"A103_2_3","High missing (>95%) - race-specific"
"A103_2_4","High missing (>95%) - race-specific"
"A103_2_5","High missing (>95%) - race-specific"
"A103_2_6","High missing (>95%) - race-specific"
"A103_2_88","High missing (>95%) - race-specific"
"A104","High missing (>95%) - race-specific"
"A105_1","High missing (>95%) - race-specific"
"A105_2","High missing (>95%) - race-specific"
"A105_3","High missing (>95%) - race-specific"
"A105_4","High missing (>95%) - race-specific"
"A116","High missing (>95%) - race-specific"
"A117","High missing (>95%) - race-specific"
"BW122","High missing (>95%) - race-specific"
"BW123","High missing (>95%) - race-specific"
"BW124","High missing (>95%) - race-specific"
"BW125","High missing (>95%) - race-specific"
"BW126","High missing (>95%) - race-specific"
"BW127","High missing (>95%) - race-specific"
"BW128","High missing (>95%) - race-specific"
"A134","High missing (>95%) - race-specific"
"A135","High missing (>95%) - race-specific"
"A136","High missing (>95%) - race-specific"
"B143","High missing (>95%) - race-specific"
"B144","High missing (>95%) - race-specific"
"B145","High missing (>95%) - race-specific"
"B148","High missing (>95%) - race-specific"
"B149","High missing (>95%) - race-specific"
"B153","High missing (>95%) - race-specific"
"B154","High missing (>95%) - race-specific"
"B156","High missing (>95%) - race-specific"
"B157","High missing (>95%) - race-specific"
"B159","High missing (>95%) - race-specific"
