"variable","n_levels","pct_missing","level_bin"
"LA201",2640,0,"50+ levels"
"C242A",1320,0,"50+ levels"
"C242B",1275,0,"50+ levels"
"C50",715,0,"50+ levels"
"C391_14_OTHER",563,0,"50+ levels"
"C259_OTHER",474,0,"50+ levels"
"C34_OTHER",188,0,"50+ levels"
"C129_8_OTHER",85,0,"50+ levels"
"C343",70,1.43,"50+ levels"
"C373_7_OTHER",62,0,"50+ levels"
"LA201A",59,0,"50+ levels"
"C344",57,1.87,"50+ levels"
"C347_STATE",50,0,"21-50 levels"
"S4",49,0,"21-50 levels"
"S10_21_OTHER",49,0,"21-50 levels"
"C35_OTHER",48,0,"21-50 levels"
"C375_6_OTHER",42,0,"21-50 levels"
"C237_7_OTHER",41,0,"21-50 levels"
"S10",21,0,"21-50 levels"
"C383",13,0,"11-20 levels"
"L292",11,49.13,"11-20 levels"
"L293",11,0,"11-20 levels"
"L294",11,0,"11-20 levels"
"C262",10,0.13,"6-10 levels"
"C85_8_OTHER",9,0,"6-10 levels"
"C129",9,0,"6-10 levels"
"C263",9,0,"6-10 levels"
"C264",9,0,"6-10 levels"
"C275",9,49.27,"6-10 levels"
"L216DESC_HID",8,0,"6-10 levels"
"C348",8,0,"6-10 levels"
"LA203",7,0,"6-10 levels"
"LA204",7,0,"6-10 levels"
"L217",7,0,"6-10 levels"
"C237",7,0,"6-10 levels"
"C373",7,0,"6-10 levels"
"C386",7,37.94,"6-10 levels"
"L19",6,0,"6-10 levels"
"L24",6,0,"6-10 levels"
"C31",6,0,"6-10 levels"
"C131",6,18.22,"6-10 levels"
"L218",6,0,"6-10 levels"
"C381",6,0,"6-10 levels"
"C382M",6,0,"6-10 levels"
"C382F",6,0,"6-10 levels"
"C390",6,0,"6-10 levels"
"C2",5,0,"3-5 levels"
"C3",5,0,"3-5 levels"
"C4",5,0,"3-5 levels"
"C5",5,0,"3-5 levels"
"C6",5,0,"3-5 levels"
"C7",5,0,"3-5 levels"
"C8",5,0,"3-5 levels"
"C9",5,0,"3-5 levels"
"C10",5,0,"3-5 levels"
"C11",5,0,"3-5 levels"
"L20",5,0,"3-5 levels"
"L21",5,39.51,"3-5 levels"
"L22",5,0,"3-5 levels"
"C23",5,0,"3-5 levels"
"C39",5,0,"3-5 levels"
"C40",5,0,"3-5 levels"
"C41",5,0,"3-5 levels"
"C42",5,0,"3-5 levels"
"C43",5,0,"3-5 levels"
"C44",5,0,"3-5 levels"
"C45",5,0,"3-5 levels"
"C71",5,0,"3-5 levels"
"C72",5,0,"3-5 levels"
"C73",5,0,"3-5 levels"
"C74",5,0,"3-5 levels"
"C75",5,0,"3-5 levels"
"C76",5,0,"3-5 levels"
"C106",5,0,"3-5 levels"
"C118",5,0,"3-5 levels"
"C119",5,0,"3-5 levels"
"C120",5,0,"3-5 levels"
"C121",5,0,"3-5 levels"
"LA147",5,0,"3-5 levels"
"BL171",5,0,"3-5 levels"
"BL173",5,0,"3-5 levels"
"BL174",5,0,"3-5 levels"
"BL175",5,0,"3-5 levels"
"BL176",5,0,"3-5 levels"
"BLA190",5,0,"3-5 levels"
