"variable","n_levels","n_rare_levels","rare_level_names"
"LA201",4919,4917,"                                                                                                                                                                                                                                                    ;    .                                                                                                                                                                                                                                                ;  Big crowds                                                                                                                                                                                                                                         ;  Bush vs Gore and supreme Court decision after                                                                                                                                                                                                      ;  country having to come together after JFK's assassination                                                                                                                                                                                          "
"C242A",4142,4140," A new change.                                                                                                                                                                                                                                      ;  All the new people Trump is putting in office                                                                                                                                                                                                      ;  Believe in equality                                                                                                                                                                                                                                ;  Consistency                                                                                                                                                                                                                                        ;  Deals more with cultural issues                                                                                                                                                                                                                    "
"TIME_304",4081,4080,"01-DEC-2016 00:00:04; 01-DEC-2016 00:00:22; 01-DEC-2016 00:00:37; 01-DEC-2016 00:01:06; 01-DEC-2016 00:02:20"
"C242B",4024,4022," Conservative                                                                                                                                                                                                                                       ;  Democratic Party? The Democratic Party of the United States is the oldest voter-based political party in the world, tracing its heritage back to the 1820s.[1][2][3] During the ""Second Party System"", from 1832 to the mid-1850s, under presidents;  Don't know                                                                                                                                                                                                                                         ;  Everyone has a voice.                                                                                                                                                                                                                              ;  I don't know.                                                                                                                                                                                                                                      "
"C50",2051,2048,"                        BarackObama                                                                                                                                                                                                                 ;      governor                                                                                                                                                                                                                                       ;   Hilary Clinton                                                                                                                                                                                                                                    ;   No                                                                                                                                                                                                                                                ;  Bernie Sanders                                                                                                                                                                                                                                     "
"C391_14_OTHER",1208,1196,"                                                                                                            ;     mmmm                                                                                                      ;  Has never served in the military                                                                             ;  Hhhh                                                                                                         ;  I don't know if anyone has ever served for my family                                                         "
"C259_OTHER",1144,1140," bcc                                                                                                                                                                                                                                               ;  Hispanic name                                                                                                                                                                                                                                     ;  no                                                                                                                                                                                                                                                ;  No                                                                                                                                                                                                                                                ;  No nothing                                                                                                                                                                                                                                        "
"C34_OTHER",570,569," SNL's coverage of Sarah Palin and Hillary Clinton                                                                                                                                                                                                  ; .                                                                                                                                                                                                                                                   ; 1960 war                                                                                                                                                                                                                                            ; 1960s - so long ago, i don't really remember                                                                                                                                                                                                        ; 1968 Nixon McCarthy                                                                                                                                                                                                                                 "
"C129_8_OTHER",229,228,"[Religion Masked by ICPSR]                                                            ; a blend of religions                                                                  ; a combination of religions                                                            ; A Follower of Christ                                                                  ; adventist                                                                             "
"C35_OTHER",146,145,"A lot of people will vote for the winner so not to waste their vote.                                                                                                                                                                                ; A system has been created that unfortunately can not be changed as it benefits the career politicians and corporations                                                                                                                              ; All governments oppress people. Simply by being born into a civilization I was denied the right to any kind of fulfilling life sans oppressive overlords. The government isn't even required to keep people in subjugation, as the underlings do it ; apolitical                                                                                                                                                                                                                                          ; Because everything is a lie                                                                                                                                                                                                                         "
"C373_7_OTHER",139,138,"-                                                                                      ; African                                                                                ; african america                                                                        ; african american                                                                       ; African Asian                                                                          "
"BA132",123,122,"-                                                                      ; ??                                                                     ; ????                                                                   ; .                                                                      ; ...                                                                    "
"C344",121,99,"(019) 19; (021) 21; (022) 22; (023) 23; (024) 24"
"S9_15_OTHER",94,93,"?                                                                                              ; Africa                                                                                         ; african slave coast                                                                            ; America                                                                                        ; America for generations and barbados. This question should allow us to select as many as apply."
"C237_7_OTHER",88,87,"?                                                                                           ; A female                                                                                    ; ally                                                                                        ; asexual                                                                                     ; Asexual                                                                                     "
"C343",120,87,"(028) 28; (032) 32; (034) 34; (036) 36; (037) 37"
"LA201A",100,78,"(002) 2; (023) 23; (024) 24; (026) 26; (027) 27"
"C375_6_OTHER",61,60,"---                                                                              ; ?? ??????? ?? ??? ??? ?? ?????                                                   ; ..                                                                               ; Alien                                                                            ; American Citizens                                                                "
"S8_14_OTHER",51,50,"All of the above mentioned countries; bangladesh                          ; Black                               ; burmese                             ; Burmese                             "
"S10_21_OTHER",49,48,"[City Masked by ICPSR],TX     ; america                       ; American                      ; Belize                        ; BELIZE                        "
"C347_STATE",52,39,"AK; AL; AR; CT; DC"
"S4",51,35,"AK; AL; AR; CT; DC"
"C85_8_OTHER",24,23,"A family friend                              ; An civil rights activists                    ; College Professor                            ; Community members                            ; customer                                     "
"S10",21,8,"(02) Bolivia; (03) Chile; (05) Costa Rica; (08) Ecuador; (10) Guatemala"
"S1",6,4,"(3) Chinese (simplified); (4) Chinese (traditional); (5) Korean; (6) Vietnamese"
"C262",10,4,"(07) 7; (08) 8; (09) 9; (10) 10"
"C129",9,3,"(4) Muslim; (5) Hindu; (6) Buddhist"
"C237",7,2,"(5) Transgender; (6) Queer"
"C386",7,2,"(5) Middle Eastern; (6) Native American"
"C387",5,2,"(4) Fair; (5) Poor"
"S3",3,1,"(3) Other"
"C260",5,1,"(3) Asian"
"L292",11,1,"(02) 1"
"C377",5,1,"(88) Don't know"
"C391_2",3,1,"(1) Currently serving"
"C391_3",3,1,"(1) Currently serving"
"C391_6",3,1,"(1) Currently serving"
"C391_9",3,1,"(1) Currently serving"
"C391_10",3,1,"(1) Currently serving"
"C391_11",3,1,"(1) Currently serving"
