fpr,tpr,threshold
0.0,0.0,inf
0.0,0.008403361344537815,0.906
0.0,0.03361344537815126,0.842
0.0,0.05042016806722689,0.83
0.0,0.1092436974789916,0.756
0.002074688796680498,0.1092436974789916,0.726
0.002074688796680498,0.12605042016806722,0.718
0.002074688796680498,0.19327731092436976,0.652
0.002074688796680498,0.21008403361344538,0.65
0.002074688796680498,0.24369747899159663,0.63
0.002074688796680498,0.2773109243697479,0.626
0.004149377593360996,0.2773109243697479,0.624
0.004149377593360996,0.3277310924369748,0.584
0.006224066390041493,0.3277310924369748,0.578
0.006224066390041493,0.3445378151260504,0.566
0.008298755186721992,0.3445378151260504,0.564
0.01037344398340249,0.35294117647058826,0.56
0.01037344398340249,0.36134453781512604,0.554
0.014522821576763486,0.36134453781512604,0.544
0.014522821576763486,0.37815126050420167,0.536
0.02074688796680498,0.37815126050420167,0.526
0.02074688796680498,0.3865546218487395,0.502
0.022821576763485476,0.3865546218487395,0.496
0.022821576763485476,0.3949579831932773,0.49
0.024896265560165973,0.3949579831932773,0.488
0.024896265560165973,0.42857142857142855,0.478
0.024896265560165973,0.453781512605042,0.466
0.024896265560165973,0.47058823529411764,0.464
0.026970954356846474,0.47058823529411764,0.462
0.026970954356846474,0.4789915966386555,0.458
0.029045643153526972,0.4789915966386555,0.454
0.029045643153526972,0.4957983193277311,0.448
0.03319502074688797,0.4957983193277311,0.446
0.03319502074688797,0.5210084033613446,0.428
0.035269709543568464,0.5210084033613446,0.424
0.035269709543568464,0.5294117647058824,0.416
0.03734439834024896,0.5294117647058824,0.404
0.03734439834024896,0.5378151260504201,0.4
0.03941908713692946,0.5378151260504201,0.396
0.03941908713692946,0.5714285714285714,0.388
0.04149377593360996,0.5714285714285714,0.386
0.04149377593360996,0.5798319327731093,0.374
0.043568464730290454,0.5798319327731093,0.372
0.043568464730290454,0.5966386554621849,0.364
0.04564315352697095,0.5966386554621849,0.354
0.04564315352697095,0.6134453781512605,0.344
0.04771784232365145,0.6134453781512605,0.34
0.04771784232365145,0.6218487394957983,0.338
0.04979253112033195,0.6302521008403361,0.336
0.05394190871369295,0.6386554621848739,0.334
0.056016597510373446,0.6554621848739496,0.322
0.058091286307053944,0.6554621848739496,0.32
0.058091286307053944,0.6638655462184874,0.318
0.06224066390041494,0.6638655462184874,0.316
0.06639004149377593,0.6638655462184874,0.31
0.07053941908713693,0.6722689075630253,0.306
0.07053941908713693,0.680672268907563,0.302
0.07468879668049792,0.680672268907563,0.296
0.07883817427385892,0.680672268907563,0.29
0.07883817427385892,0.6974789915966386,0.288
0.08298755186721991,0.7142857142857143,0.28
0.08713692946058091,0.7226890756302521,0.276
0.08921161825726141,0.7226890756302521,0.274
0.0912863070539419,0.7310924369747899,0.272
0.0954356846473029,0.7310924369747899,0.27
0.0954356846473029,0.7563025210084033,0.268
0.0975103734439834,0.7563025210084033,0.264
0.1016597510373444,0.7563025210084033,0.258
0.1078838174273859,0.7563025210084033,0.256
0.1078838174273859,0.7647058823529411,0.252
0.11203319502074689,0.7647058823529411,0.246
0.11203319502074689,0.7815126050420168,0.244
0.11618257261410789,0.7815126050420168,0.242
0.11825726141078838,0.7815126050420168,0.24
0.12240663900414937,0.7899159663865546,0.238
0.13070539419087138,0.7899159663865546,0.234
0.13485477178423236,0.7899159663865546,0.228
0.14107883817427386,0.7899159663865546,0.226
0.14315352697095435,0.7983193277310925,0.224
0.14730290456431536,0.7983193277310925,0.222
0.14730290456431536,0.8067226890756303,0.218
0.15145228215767634,0.8067226890756303,0.214
0.15767634854771784,0.8151260504201681,0.212
0.16182572614107885,0.8151260504201681,0.21
0.16182572614107885,0.8235294117647058,0.204
